Country;Diversification;Business Environment;Dynamism;Physical Infrastructure;Capital Flows;Economic Management;Economy
Jordan;7,7;5,5;2,3;6,9;4,4;6,0;5,5
Kazakhstan;4,6;5,1;2,2;6,7;3,6;6,2;4,7
Kenya;7,0;4,1;2,8;5,4;3,5;6,0;4,8
South Korea;9,1;8,2;8,7;8,9;4,3;8,0;7,9
Kuwait;4,9;6,4;2,3;7,5;3,3;6,1;5,1
Kyrgyzstan;4,6;3,8;1,8;6,0;5,5;5,4;4,5
Laos;3,9;3,6;2,2;6,2;2,6;6,2;4,1
Latvia;5,4;6,3;3,3;7,8;4,2;7,8;5,8
Lebanon;7,1;4,5;3,6;6,6;4,8;2,9;4,9
Lesotho;4,4;3,4;1,6;3,4;4,6;4,8;3,7
Liberia;4,5;3,2;2,5;2,3;3,4;3,9;3,3
Libya;2,6;1,6;2,4;4,5;2,1;6,0;3,2
Lithuania;5,9;6,3;3,7;7,6;4,2;7,7;5,9
Madagascar;6,1;3,2;1,4;2,8;2,8;5,3;3,6
Malawi;5,8;3,4;1,9;2,5;3,0;4,6;3,5
Malaysia;8,2;7,2;4,0;8,0;4,1;7,3;6,5
Mali;4,5;3,4;1,6;3,6;2,9;5,9;3,6
Mauritania;4,4;2,9;1,1;3,4;2,5;5,0;3,2
Mauritius;6,3;6,7;2,9;7,4;4,1;6,3;5,6
Mexico;6,2;5,3;2,4;7,5;3,9;6,6;5,3
Moldova;5,5;4,7;2,1;6,2;4,5;6,5;4,9
Mongolia;2,5;5,1;2,5;5,6;3,4;5,9;4,2
Morocco;6,5;4,9;3,0;6,9;4,0;6,1;5,2
Mozambique;4,9;3,1;1,6;3,1;3,1;4,9;3,4
Myanmar;5,1;3,3;1,3;4,2;2,1;4,2;3,4
Namibia;5,0;5,6;2,0;5,3;3,2;5,2;4,4
Nepal;6,1;3,7;2,1;5,0;4,8;5,6;4,6
Netherlands;6,2;8,9;6,7;9,7;3,8;7,9;7,2
New Zealand;7,1;8,7;5,6;9,1;4,5;7,4;7,1
Nicaragua;5,7;3,3;1,4;6,7;4,2;5,8;4,5
Niger;7,9;3,3;1,6;2,1;2,7;5,5;3,9
Nigeria;4,1;3,6;2,5;4,3;3,1;3,2;3,5
North Macedonia;6,0;5,2;2,4;6,7;3,8;6,6;5,1
Norway;4,7;8,6;6,6;8,8;4,4;7,7;6,8
Oman;5,1;5,9;2,3;7,7;3,6;6,3;5,1
Pakistan;7,9;3,8;1,8;4,9;3,7;4,6;4,4
Panama;6,4;5,7;2,4;7,6;3,5;7,0;5,4
Papua New Guinea;3,8;3,8;1,5;4,0;2,8;5,2;3,5
Paraguay;5,4;4,0;1,7;6,4;3,3;6,5;4,5
Peru;5,6;5,7;2,4;6,4;3,6;6,7;5,1
Philippines;8,4;4,9;2,0;6,8;4,1;7,0;5,5
Poland;6,5;6,6;3,8;8,1;3,8;7,4;6,0
Portugal;6,5;7,6;4,7;8,4;4,0;7,6;6,5
Qatar;5,4;7,3;3,4;8,3;3,7;6,6;5,8
Romania;6,7;5,4;2,8;7,6;4,0;7,3;5,6
Russia;6,1;5,3;3,6;7,2;3,3;6,9;5,4
Rwanda;6,8;4,6;2,3;4,5;3,9;6,3;4,7
Saudi Arabia;6,3;5,8;3,4;7,8;3,5;5,7;5,4
Senegal;5,8;4,2;2,1;4,8;3,9;5,5;4,4
Serbia;6,6;4,7;3,0;7,0;4,2;7,2;5,4
Sierra Leone;6,9;3,3;2,5;2,0;2,4;3,9;3,5
Singapore;8,4;7,7;7,3;9,7;7,3;8,6;8,2
Slovakia;5,9;6,8;3,6;7,8;4,1;7,3;5,9
Slovenia;6,3;6,9;5,0;8,3;4,0;8,0;6,4
Somalia;5,5;3,8;2,2;2,7;5,4;3,4;3,8
South Africa;7,4;5,1;3,0;6,9;3,4;5,9;5,3
South Sudan;2,9;3,0;2,6;1,2;3,0;2,7;2,6
Spain;7,2;6,7;4,2;9,1;4,1;7,3;6,5
Sri Lanka;7,8;5,0;1,8;6,5;3,6;5,4;5,0
Sudan;6,6;2,5;2,9;3,7;2,6;2,8;3,5
Sweden;6,4;8,9;8,2;9,6;4,4;7,9;7,6
Switzerland;7,0;9,7;8,4;9,3;3,6;8,0;7,7
Syria;6,7;2,0;1,6;5,4;2,7;4,5;3,8
Tajikistan;5,7;3,5;1,9;5,4;5,1;5,5;4,5
Tanzania;6,7;3,4;1,9;3,8;2,9;6,0;4,1
Thailand;8,9;6,4;3,2;7,8;3,6;7,5;6,2
Timor-Leste;6,1;2,8;;9,5;3,2;7,1;5,8
Togo;6,1;3,7;1,6;3,8;3,0;5,6;4,0
Trinidad and Tobago;6,5;5,0;2,0;6,7;3,3;6,2;5,0
Tunisia;6,7;4,4;2,5;6,2;3,4;5,4;4,8
Turkey;7,9;5,7;3,2;7,8;3,5;5,0;5,5
Turkmenistan;4,5;2,3;3,7;5,7;2,8;6,2;4,2
Uganda;5,9;3,7;1,5;3,6;3,4;5,6;4,0
Ukraine;6,6;4,5;2,6;6,4;3,5;6,5;5,0
United Arab Emirates;6,3;7,5;4,7;9,2;5,6;6,5;6,6
United Kingdom;7,5;9,4;6,2;9,4;4,4;7,8;7,4
United States;8,4;9,3;7,5;9,5;4,3;7,9;7,8
Uruguay;6,6;5,8;2,3;6,8;3,7;5,4;5,1
Uzbekistan;5,6;3,8;2,0;6,4;4,1;5,7;4,6
Venezuela;4,5;2,1;1,6;5,5;2,0;2,9;3,1
Vietnam;7,9;4,8;2,6;7,4;3,4;7,1;5,5
Palestine;5,9;5,1;1,8;10,0;5,4;5,7;5,6
Yemen;6,3;2,1;1,1;4,2;2,9;3,0;3,3
Zambia;4,7;3,6;2,6;3,7;2,9;3,5;3,5
Zimbabwe;4,4;2,8;2,0;3,1;3,0;3,7;3,2
